Fascia,Giocatore,Ruolo,Squadra,Quotazione_Gazzetta,Perche_mordono,Se_resta_a_1_credito,Chiamato
A,Martinez (Lautaro),A,Inter,88,Il piu caro del listone - da voi puo arrivare a 130,Ottimo affare - tienilo,
A,Malen,A,Roma,84,Secondo del listone - rigorista - reduce dal 4-0,Ottimo affare - tienilo,
A,Thuram M.,A,Inter,74,Quotato 74 ma non e partito titolare col Monza,Accettabile come quarto slot,
A,Paz,C,Como,59,Terzo centrocampista del listone,Ottimo affare - tienilo,
A,Dimarco,D,Inter,43,Difensore piu caro - bonus veri - con modificatore fa gola,Ottimo affare - tienilo,
B,Yildiz,A,Juventus,70,Il listone lo quota 70 ma e operato al piede - 3 mesi fuori,Scommessa sul rientro a novembre,
B,Kean,A,Fiorentina,64,Il listone lo da ancora viola - in realta e al Como in ballottaggio,Accettabile - si alterna con Douvikas,
B,Davis,A,Udinese,61,Quotato 61 ma storico infortuni pesantissimo,Accettabile come terzo slot,
B,Scamacca,A,Atalanta,60,Rigorista Atalanta ma storicamente fragile,Accettabile come quarto slot,
B,Bremer,D,Juventus,34,Difensore caro in lega col modificatore - richiamo forte,Accettabile in difesa,
