Ruolo,Giocatore,Squadra,Offerta_massima
P,Corradi,Lazio,30
P,Baldini,Empoli,12
P,Sorrenti,Monza,3
D,Ferrante,Inter,28
D,Meloni,Napoli,22
D,Bassani,Juventus,18
D,Vergani,Atalanta,14
D,Trevisan,Bologna,10
D,Loprete,Udinese,7
D,Carminati,Lecce,5
D,Sabatino,Verona,3
C,Rinaldi,Milan,60
C,Colombani,Roma,40
C,Manzoni,Fiorentina,25
C,Guidetti,Torino,18
C,Serravalle,Genoa,12
C,Bonanno,Cagliari,9
C,Peruzzo,Como,6
C,Malinverni,Parma,3
A,Vitali,Napoli,85
A,Ranucci,Inter,55
A,Delfino,Atalanta,20
A,Fioretti,Sassuolo,8
A,Casagrande,Venezia,4
A,Ortolani,Empoli,3
