Ruolo,Giocatore,Squadra,Quotazione_Gazzetta,Titolare_1a_giornata,Note,Preso
D,Abankwah,Udinese,1,Si,Titolare nell'undici dell'Udinese a Como,
D,Macchioni,Sassuolo,1,Si,Titolare nell'undici del Sassuolo a Bergamo,
D,Palma,Udinese,4,Si,Titolare nell'undici dell'Udinese,
D,Odenthal,Sassuolo,4,Si,Titolare nell'undici del Sassuolo,
D,Kofler,Cagliari,4,No,Rosa Cagliari - clean sheet di squadra alla 1a,
D,Ze Pedro,Cagliari,14,Si,Titolare Cagliari - clean sheet 1a giornata,
D,Rodriguez,Cagliari,12,Si,Titolare Cagliari - NON il Rodriguez attaccante del Como,
D,Schingtienne,Venezia,9,Si,Titolare Venezia,
D,Sverko,Venezia,9,No,Rotazione Venezia,
D,Mlacic,Udinese,3,No,Rosa Udinese,
C,Cinquegrano,Sassuolo,1,Si,Titolare Sassuolo - listato CENTROCAMPISTA anche se gioca dietro,
C,Bakola,Sassuolo,9,Si,Titolare nell'undici del Sassuolo,
C,Adzic,Sassuolo,10,Si,Titolare nell'undici del Sassuolo,
C,Ghion,Sassuolo,2,No,Rosa Sassuolo,
C,Caligara,Sassuolo,2,No,Rosa Sassuolo,
C,Dagasso,Venezia,6,No,Rosa Venezia,
C,Hasa,Frosinone,5,No,Rosa Frosinone,
C,Litetá,Cagliari,4,No,Rosa Cagliari,
A,Volpato,Sassuolo,25,Si,Titolare Sassuolo - segnalato da Ultimo Uomo come scommessa,
A,Bowie,Sassuolo,25,Si,Titolare nell'undici del Sassuolo,
A,Okoro,Venezia,7,No,Rosa Venezia,
A,Lauberbach,Venezia,6,No,Rosa Venezia,
A,Trepy,Cagliari,4,No,Rosa Cagliari,
A,Cichero,Frosinone,2,No,Rosa Frosinone,
